日期,距离,用时,平均配速,消耗热量,平均心率,步频,步幅,当月次数,当月总跑量,当年次数,当年总跑量,备注,,,,,,,,,,,,,,,
2019/7/24,2.02,0:16:19,0:08:05,187,150,167,72,5,9.2,84,395.75,,,,,,,,,,,,,,,,
2019/7/26,2,0:16:30,0:08:15,229,172,169,69,,,,,,,,,,,,,,,,,,,,
2019/7/27,2,0:15:37,0:07:49,219,174,170,75,,,,,,,,,,,,,,,,,,,,
2019/7/30,1.18,0:09:30,0:08:03,104,148,168,73,,,,,,,,,,,,,,,,,,,,
2019/7/31,2,0:15:36,0:07:48,208,168,168,75,,,,,,,,,,,,,,,,,,,,
2019/8/2,2,0:15:02,0:07:31,161,145,167,77,20,52.04,,,,,,,,,,,,,,,,,,
2019/8/3,1,0:06:37,0:06:37,68,142,173,87,,,,,,,,,,,,,,,,,,,,
2019/8/6,2,0:15:00,0:07:30,206,169,173,76,,,,,,,,,,,,,,,,,,,,
2019/8/8,3,0:22:40,0:07:33,321,176,172,74,,,,,,,,,,,,,,,,,,,,
2019/8/10,3,0:21:40,0:07:13,307,174,174,75,,,,,,,,,,,,,,,,,,,,
2019/8/13,3.01,0:21:32,0:07:09,285,167,172,79,,,,,,,,,,,,,,,,,,,,
2019/8/14,3,0:21:19,0:07:06,298,170,171,80,,,,,,,,,,,,,,,,,,,,
2019/8/15,3,0:22:45,0:07:35,318,172,168,75,,,,,,,,,,,,,,,,,,,,
2019/8/17,3,0:21:49,0:07:16,290,166,168,79,,,,,,,,,,,,,,,,,,,,
2019/8/19,3.01,0:22:07,0:07:21,285,163,168,78,,,,,,,,,,,,,,,,,,,,
2019/8/20,1.01,0:07:10,0:07:06,91,160,170,82,,,,,,,,,,,,,,,,,,,,
2019/8/21,3,0:22:13,0:07:24,285,164,169,77,,,,,,,,,,,,,,,,,,,,
2019/8/22,3,0:21:16,0:07:05,290,169,170,80,,,,,,,,,,,,,,,,,,,,
2019/8/23,1,0:07:21,0:07:21,87,155,172,77,,,,,,,,,,,,,,,,,,,,
2019/8/24,3,0:21:30,0:07:10,286,166,169,78,,,,,,,,,,,,,,,,,,,,
2019/8/26,3.01,0:21:27,0:07:08,283,166,169,78,,,,,,,,,,,,,,,,,,,,
2019/8/27,3,0:21:27,0:07:09,298,167,168,75,,,,,,,,,,,,,,,,,,,,
2019/8/28,3,0:21:55,0:07:18,299,166,167,78,,,,,,,,,,,,,,,,,,,,
2019/8/29,3,0:21:59,0:07:20,307,167,167,78,,,,,,,,,,,,,,,,,,,,
